Prof.;Item;AHPrice;Comp.Price;profit;profit pct
165;Dark Leather Belt;None;1150325;#¡VALOR!;
165;Dark Leather Boots;None;652560;#¡VALOR!;
165;Dark Leather Cloak;None;1105520;#¡VALOR!;
165;Dark Leather Gloves;None;1100705;#¡VALOR!;
165;Dark Leather Pants;None;1608380;#¡VALOR!;
165;Dark Leather Shoulders;None;1658420;#¡VALOR!;
165;Dark Leather Tunic;None;854090;#¡VALOR!;
165;Dawn Treaders;None;30359756;#¡VALOR!;
165;Deviate Scale Belt;None;299470;#¡VALOR!;
165;Deviate Scale Cloak;None;329636;#¡VALOR!;
165;Deviate Scale Gloves;None;179602;#¡VALOR!;
165;Devilsaur Gauntlets;None;9549070;#¡VALOR!;
165;Devilsaur Leggings;None;21438463;#¡VALOR!;
165;Dragonscale Breastplate;None;124399600;#¡VALOR!;
165;Dragonscale Gauntlets;None;50689600;#¡VALOR!;
165;Dreamscale Breastplate;None;39233300;#¡VALOR!;
165;Dusky Belt;None;1236563;#¡VALOR!;
165;Dusky Boots;None;3367800;#¡VALOR!;
165;Dusky Bracers;None;1741700;#¡VALOR!;
165;Dusky Leather Armor;None;3564800;#¡VALOR!;
165;Dusky Leather Leggings;None;1144700;#¡VALOR!;
165;Earthen Leather Shoulders;None;1205589;#¡VALOR!;
165;Embossed Leather Boots;None;729500;#¡VALOR!;
165;Embossed Leather Cloak;None;399800;#¡VALOR!;
165;Embossed Leather Gloves;None;279800;#¡VALOR!;
165;Embossed Leather Pants;None;659800;#¡VALOR!;
165;Embossed Leather Vest;None;679600;#¡VALOR!;
165;Feathered Breastplate;None;8835098;#¡VALOR!;
165;Fine Leather Belt;None;459800;#¡VALOR!;
165;Fine Leather Boots;None;519800;#¡VALOR!;
165;Fine Leather Cloak;None;699800;#¡VALOR!;
165;Fine Leather Gloves;None;539800;#¡VALOR!;
165;Fine Leather Pants;None;1062320;#¡VALOR!;
165;Fine Leather Tunic;None;1159600;#¡VALOR!;
165;Fletcher's Gloves;None;1110380;#¡VALOR!;
165;Frost Leather Cloak;None;1461198;#¡VALOR!;
165;Frostsaber Boots;None;261896;#¡VALOR!;
165;Frostsaber Gloves;None;369894;#¡VALOR!;
165;Frostsaber Leggings;None;365894;#¡VALOR!;
165;Frostsaber Tunic;None;6613781;#¡VALOR!;
165;Gauntlets of the Sea;None;2316590;#¡VALOR!;
165;Gem-studded Leather Belt;None;1754561;#¡VALOR!;
165;Girdle of Insight;None;12886042;#¡VALOR!;
165;Gloves of the Greatfather;None;2251896;#¡VALOR!;
165;Golden Mantle of the Dawn;None;38113114;#¡VALOR!;
165;Green Dragonscale Breastplate;None;1149780;#¡VALOR!;
165;Green Dragonscale Gauntlets;None;7049773;#¡VALOR!;
165;Green Dragonscale Leggings;None;1099880;#¡VALOR!;
165;Green Leather Armor;None;1194900;#¡VALOR!;
165;Green Leather Belt;None;917395;#¡VALOR!;
165;Green Leather Bracers;None;1146800;#¡VALOR!;
165;Green Whelp Armor;None;1098000;#¡VALOR!;
165;Green Whelp Bracers;None;900600;#¡VALOR!;
165;Guardian Armor;None;4213800;#¡VALOR!;
165;Guardian Belt;None;992995;#¡VALOR!;
165;Guardian Cloak;None;1539468;#¡VALOR!;
165;Guardian Gloves;None;672900;#¡VALOR!;
165;Guardian Leather Bracers;None;1096900;#¡VALOR!;
165;Guardian Pants;None;1340468;#¡VALOR!;
165;Handstitched Leather Belt;None;409900;#¡VALOR!;
165;Handstitched Leather Boots;None;169900;#¡VALOR!;
165;Handstitched Leather Bracers;None;269700;#¡VALOR!;
165;Handstitched Leather Cloak;None;169900;#¡VALOR!;
165;Handstitched Leather Pants;None;289900;#¡VALOR!;
165;Handstitched Leather Vest;None;229900;#¡VALOR!;
202;Sniper Scope;3777776;948145;282,9631;
165;Heavy Earthen Gloves;None;2324778;#¡VALOR!;
165;Core Armor Kit;14890000;12099800;279,02;
165;Heavy Leather Ammo Pouch;None;895800;#¡VALOR!;
165;Heavy Leather Ball;None;248900;#¡VALOR!;
165;Heavy Quiver;None;895800;#¡VALOR!;
165;Heavy Scorpid Belt;None;1869894;#¡VALOR!;
165;Heavy Scorpid Bracers;None;1009896;#¡VALOR!;
165;Heavy Scorpid Gauntlets;None;1869894;#¡VALOR!;
165;Heavy Scorpid Helm;None;8619885;#¡VALOR!;
165;Heavy Scorpid Leggings;None;2729892;#¡VALOR!;
165;Heavy Scorpid Shoulders;None;9349779;#¡VALOR!;
165;Heavy Scorpid Vest;None;1489894;#¡VALOR!;
165;Helm of Fire;None;4353580;#¡VALOR!;
165;Herbalist's Gloves;None;1505520;#¡VALOR!;
165;Hide of the Wild;None;52004133;#¡VALOR!;
165;Hillman's Belt;None;1115520;#¡VALOR!;
165;Hillman's Cloak;None;597300;#¡VALOR!;
165;Hillman's Leather Gloves;None;1959610;#¡VALOR!;
165;Hillman's Leather Vest;None;502108;#¡VALOR!;
165;Hillman's Shoulders;None;1552760;#¡VALOR!;
165;Icy Scale Bracers;None;22014982;#¡VALOR!;
165;Icy Scale Breastplate;None;36589965;#¡VALOR!;
165;Icy Scale Gauntlets;None;28329974;#¡VALOR!;
165;Ironfeather Breastplate;None;18741352;#¡VALOR!;
197;Lavender Mageweave Shirt;2999999;319600;268,0399;
165;Kodo Hide Bag;None;559900;#¡VALOR!;
165;Lava Belt;None;24610472;#¡VALOR!;
165;Light Armor Kit;None;60000;#¡VALOR!;
164;Thorium Shield Spike;3989999;1403000;258,6999;
165;Light Leather Bracers;None;559600;#¡VALOR!;
165;Light Leather Pants;None;849900;#¡VALOR!;
165;Light Leather Quiver;None;339800;#¡VALOR!;
165;Living Breastplate;None;19996433;#¡VALOR!;
165;Living Leggings;None;10719869;#¡VALOR!;
202;Biznicks 247x128 Accurascope;57499999;55380200;211,9799;
165;Medium Armor Kit;None;552760;#¡VALOR!;
171;Transmute: Undeath to Water;2247500;299899;194,7601;
165;Might of the Timbermaw;None;16084162;#¡VALOR!;
165;Molten Belt;None;27645672;#¡VALOR!;
165;Molten Helm;None;60182900;#¡VALOR!;
165;Mongoose Boots;None;17555394;#¡VALOR!;
165;Moonglow Vest;None;859600;#¡VALOR!;
165;Murloc Scale Belt;None;1129892;#¡VALOR!;
165;Murloc Scale Bracers;None;1699900;#¡VALOR!;
165;Murloc Scale Breastplate;None;1809888;#¡VALOR!;
202;Inlaid Mithril Cylinder Plans;1879999;2500;187,7499;
165;Nightscape Cloak;None;1279600;#¡VALOR!;
165;Nightscape Headband;None;549800;#¡VALOR!;
165;Nightscape Pants;None;1459600;#¡VALOR!;
165;Nightscape Shoulders;None;1046700;#¡VALOR!;
165;Nightscape Tunic;None;729800;#¡VALOR!;
165;Nimble Leather Gloves;None;804250;#¡VALOR!;
165;Onyxia Scale Breastplate;None;152339760;#¡VALOR!;
171;Oil of Immolation;2500000;727167;177,2833;
165;Pilferer's Gloves;None;1357530;#¡VALOR!;
165;Polar Bracers;None;30374982;#¡VALOR!;
165;Polar Gloves;None;36689974;#¡VALOR!;
165;Polar Tunic;None;47229965;#¡VALOR!;
165;Primal Batskin Bracers;None;21047095;#¡VALOR!;
165;Primal Batskin Gloves;None;27080610;#¡VALOR!;
165;Primal Batskin Jerkin;None;33307547;#¡VALOR!;
165;Quickdraw Quiver;None;1904600;#¡VALOR!;
165;Raptor Hide Belt;None;773800;#¡VALOR!;
165;Raptor Hide Harness;None;911800;#¡VALOR!;
165;Red Dragonscale Breastplate;None;2149880;#¡VALOR!;
165;Red Whelp Gloves;None;1092760;#¡VALOR!;
171;Transmute: Earth to Water;2247500;500000;174,75;
171;Transmute: Arcanite;3602000;1904700;169,73;
165;Rugged Leather Pants;None;549500;#¡VALOR!;
165;Runic Leather Armor;None;10969691;#¡VALOR!;
165;Runic Leather Belt;None;699838;#¡VALOR!;
165;Runic Leather Bracers;None;647613;#¡VALOR!;
165;Runic Leather Gauntlets;None;579860;#¡VALOR!;
165;Runic Leather Headband;None;799836;#¡VALOR!;
165;Runic Leather Pants;None;2909822;#¡VALOR!;
165;Runic Leather Shoulders;None;10679687;#¡VALOR!;
165;Sandstalker Bracers;None;10388900;#¡VALOR!;
165;Sandstalker Breastplate;None;33057786;#¡VALOR!;
165;Sandstalker Gauntlets;None;21723343;#¡VALOR!;
165;Shadowskin Gloves;None;1683398;#¡VALOR!;
165;Shifting Cloak;None;67007142;#¡VALOR!;
165;Small Leather Ammo Pouch;None;379600;#¡VALOR!;
165;Spitfire Bracers;None;8991168;#¡VALOR!;
165;Spitfire Breastplate;None;29676054;#¡VALOR!;
165;Spitfire Gauntlets;None;19333611;#¡VALOR!;
165;Stormshroud Armor;None;15879377;#¡VALOR!;
165;Stormshroud Gloves;None;30165986;#¡VALOR!;
165;Stormshroud Pants;None;6942884;#¡VALOR!;
202;Ornate Spyglass;5999999;4311634;168,8365;
171;Gift of Arthas;1998800;323499;167,5301;
165;Swift Flight Bracers;None;31759560;#¡VALOR!;
165;Thick Armor Kit;None;499900;#¡VALOR!;
202;Accurate Scope;1990000;447609;154,2391;
165;Thick Leather Ammo Pouch;None;1591067;#¡VALOR!;
165;Thick Murloc Armor;None;1393700;#¡VALOR!;
165;Timbermaw Brawlers;None;24013212;#¡VALOR!;
165;Tough Scorpid Boots;None;2405400;#¡VALOR!;
165;Tough Scorpid Bracers;None;1341800;#¡VALOR!;
165;Tough Scorpid Breastplate;None;2305600;#¡VALOR!;
165;Tough Scorpid Gloves;None;1323800;#¡VALOR!;
165;Tough Scorpid Helm;None;2709800;#¡VALOR!;
165;Tough Scorpid Leggings;None;2043800;#¡VALOR!;
165;Tough Scorpid Shoulders;None;2547800;#¡VALOR!;
165;Toughened Leather Armor;None;1756950;#¡VALOR!;
165;Toughened Leather Gloves;None;4518658;#¡VALOR!;
165;Turtle Scale Bracers;None;2269900;#¡VALOR!;
165;Turtle Scale Breastplate;None;2089900;#¡VALOR!;
165;Turtle Scale Gloves;None;1589900;#¡VALOR!;
165;Turtle Scale Helm;None;4309900;#¡VALOR!;
165;Turtle Scale Leggings;None;4809900;#¡VALOR!;
165;Volcanic Breastplate;None;997026;#¡VALOR!;
165;Volcanic Leggings;None;407027;#¡VALOR!;
165;Volcanic Shoulders;None;1146924;#¡VALOR!;
165;Warbear Harness;None;1478672;#¡VALOR!;
165;Warbear Woolies;None;1283476;#¡VALOR!;
165;White Leather Jerkin;None;629700;#¡VALOR!;
165;Wicked Leather Armor;None;16109348;#¡VALOR!;
165;Wicked Leather Belt;None;899586;#¡VALOR!;
165;Wicked Leather Bracers;None;499792;#¡VALOR!;
165;Wicked Leather Gauntlets;None;499792;#¡VALOR!;
165;Wicked Leather Headband;None;699788;#¡VALOR!;
165;Wicked Leather Pants;None;6889577;#¡VALOR!;
165;Wild Leather Boots;None;4910000;#¡VALOR!;
165;Wild Leather Cloak;None;6690000;#¡VALOR!;
165;Wild Leather Helmet;None;2725000;#¡VALOR!;
165;Wild Leather Leggings;None;6690000;#¡VALOR!;
165;Wild Leather Shoulders;None;1925000;#¡VALOR!;
165;Wild Leather Vest;None;2905000;#¡VALOR!;
164;Elemental Sharpening Stone;2200000;732995;146,7005;
171;Alchemist's Stone;None;36714722;#¡VALOR!;
171;Frost Protection Potion;1500000;63933;143,6067;
171;Greater Shadow Protection Potion;3990000;2610500;137,95;
171;Living Action Potion;2498000;1126096;137,1904;
171;Cowardly Flight Potion;None;100340;#¡VALOR!;
